TYPE_PREDICTIONS,STATE,PRODUCT,MAPE,POCID,PBE,"MASE(2020,2021,2022,2023,2024)",RRMSE,PONTOS
TimeMoE-200M_ZERO_SHOT_5_YEARS,pe,etanolhidratado,0.33832057772773394,52.54237288135593,-9.606963409962727,"0.9155, 1.0539, 0.9735, 1.0312, 0.8375",0.4228413647222601,"[34246.050487595625, 34085.48219728882, 33828.1842686126, 33129.52993396235, 32413.653026390944, 32131.287128090386, 31762.342739024716, 31931.43466120136, 31381.023511070493, 31399.654774081144, 30560.536133591937, 30077.306321458134, 29445.38386190349, 29349.458034781088, 29080.45044744392, 28655.885801402514, 27879.662748920535, 27418.975086537455, 27185.745802984755, 27080.722859170113, 26670.227085774484, 26937.86235035236, 26133.585788018856, 25451.24220096374, 28698.314042471764, 27552.472095740046, 26551.591259685043, 25677.758603775543, 24700.620039367896, 23999.825938041547, 23392.94658156068, 23045.073485779834, 23008.5998510752, 24227.632293163897, 22762.933795381443, 22755.524184976908, 18105.77863817607, 18192.144519933852, 18184.443970887707, 17976.920173149454, 17364.251262033347, 17283.057001129273, 17068.428829894667, 16946.82704598661, 16833.19001822445, 17232.002864500988, 16597.445172250245, 16272.998232092696, 14525.995613846246, 14554.529980619314, 14893.72465025306, 14792.070813208062, 14015.585418617624, 13605.687064099315, 13321.289568617614, 13199.927125258746, 13140.043498188677, 13200.755181392553, 12737.843206061456, 12562.928159406307]"
TimeMoE-50M_ZERO_SHOT_5_YEARS,pe,gasolinac,0.06864217394562423,72.88135593220339,-0.48559877602291684,"0.4097, 1.1275, 0.5901, 0.9967, 0.5889",0.13688536244679925,"[113126.71424205803, 109809.10519975585, 110470.83444883164, 110184.40389962344, 111187.43140283933, 115614.97269910327, 114350.26329647946, 116932.58231675142, 113194.08354628587, 124280.72457994267, 116282.15465124, 111626.47447903112, 113460.04684153348, 113852.71036234593, 112581.52049199159, 113268.530455259, 114462.70113411515, 117465.42757957702, 116254.8241494112, 118440.30351756886, 115983.41772060608, 123881.43130714598, 116029.04894081631, 111215.90258947834, 101263.50800412732, 100409.9121249511, 99880.43532733688, 101508.92748938683, 104429.82702482151, 107165.72891972604, 109596.01723882364, 112508.64298158285, 110654.35264412976, 119856.71634434932, 110468.63729084148, 102420.79398891875, 102523.62978680129, 102679.44618353709, 103084.14813967889, 105650.7999689165, 108271.97117316077, 110958.6551979652, 111016.86457349887, 114985.0964991827, 111018.84737461194, 121702.10704360186, 109598.4899985129, 103660.99589322899, 118058.7061705361, 117925.94270759076, 116979.84800814945, 118475.39680058935, 121740.85970473838, 127125.48914599717, 128969.22240725365, 129976.5734121244, 125384.00028731054, 141078.63282972606, 126725.49921334993, 119488.14500540108]"
TimeMoE-200M_ZERO_SHOT_5_YEARS,pe,gasolinac,0.07727703987644068,69.49152542372882,-1.744948846584736,"0.5669, 1.2901, 0.6628, 0.9282, 0.6742",0.1504560044339052,"[112246.49983210907, 108274.74250135741, 107641.73133210943, 109746.55126965976, 107926.28243084172, 112822.88633559328, 110735.4159077823, 116153.29171789739, 113408.70836947077, 124653.41463317213, 118197.45631483442, 113292.59584251356, 116384.9464294067, 115617.70957708752, 115202.09455922109, 115705.45809584427, 114806.70947162989, 118906.95461118924, 117116.48903388926, 123234.60560272992, 121361.50927711367, 129897.21543398511, 124000.04721620349, 119261.47409128406, 102659.56649708781, 103294.9968368058, 102105.86163066054, 103819.3462944761, 104398.34527239982, 107271.70160083669, 108363.60873811612, 113055.47885843986, 110991.22404597784, 119758.77439052674, 112564.60926550985, 108203.53582624956, 104179.10603465544, 105506.78851162607, 105634.33850909652, 105056.4132294589, 107500.00890004219, 108708.87259448237, 111337.0582447492, 115950.03546480092, 112932.82844673145, 122164.71215116722, 113750.94060714677, 108523.91705976734, 120514.7843014084, 121319.4149453754, 120089.43135683995, 117999.58960607617, 121144.23561537618, 126909.45951970706, 129014.90338888178, 131797.6996784508, 128135.02582545394, 138322.97565191702, 129579.12513959121, 127657.94014528098]"
TimeMoE-50M_ZERO_SHOT_5_YEARS,pe,glp,0.03582291511092774,88.13559322033899,-0.5911865236149934,"0.7772, 0.7861, 1.1596, 0.7847, 1.2508",0.048683143045941665,"[47372.21019738028, 46729.01859598273, 47070.040102639636, 48222.55173358316, 49841.117907336025, 51036.55795021173, 49333.42471221048, 48893.933930042054, 47204.67552187724, 49340.45607374787, 45935.8513670895, 43809.32715372186, 46213.08831235816, 45831.63104778528, 46577.75415305821, 46790.6050897385, 49556.3775069663, 49787.09529665747, 48312.478948153526, 48026.581918552794, 46532.593682756975, 48808.52465087607, 44686.981663051214, 42424.27214727643, 47392.45073682932, 46377.96793365909, 47488.27440000999, 48058.829685700366, 50827.01450103855, 50423.64076486559, 49272.087483856325, 48895.18686636005, 46449.48444343322, 49909.792413856834, 44947.71610570802, 42567.15787363283, 45232.20818486326, 44245.77340449814, 44792.95344947667, 45904.06530744721, 47792.96641856779, 47597.116515302594, 46218.5542116384, 45638.07079830392, 43845.196350596394, 46687.340287807165, 42531.058295099225, 40257.88482548557, 45453.11587030124, 43561.92982633246, 44817.754412750815, 45594.529608926096, 47605.49712024497, 47685.78418424507, 45966.453416074095, 45089.69352404791, 43359.267612943426, 46453.715345950885, 41774.77715261668, 39454.90761036255]"
TimeMoE-200M_ZERO_SHOT_5_YEARS,pe,glp,0.036974166907990984,86.44067796610169,-0.14720956542534888,"0.7827, 0.8540, 1.1729, 1.0164, 1.1176",0.049988565371732505,"[46388.92050433637, 46446.73497051837, 45953.94388082381, 47081.160738625586, 49594.262071264166, 50800.74438259425, 48500.87354986115, 48751.19266431614, 47825.52010234462, 49391.55831364152, 46233.95201531125, 44944.735306946975, 46046.99635478571, 45839.916289827794, 46015.243341692876, 46635.17489320811, 49477.37264908515, 49963.0766702018, 47948.804503937194, 48189.750672778966, 47179.71876772707, 48767.2155198673, 44902.09581627577, 42846.21049074739, 46573.64410649285, 46304.604593863856, 46842.0953905415, 47357.90387402664, 50704.59969579027, 50385.28127444267, 48479.41689739208, 48536.18520423698, 46642.6273622043, 49416.722788959705, 45413.29949914081, 43405.740031258116, 44064.92474631231, 43452.199230953025, 43433.776251724135, 44461.897837948956, 47062.51398704752, 46769.57709822525, 44644.87563810697, 44647.35082466132, 43415.69978917098, 45845.22828660628, 42175.97264908685, 39960.534569983276, 44407.224682339656, 44165.727580309074, 44572.069840810436, 45305.89443665604, 47781.203735335235, 48433.06675131038, 45926.639877475056, 45296.80946811666, 44059.513137791895, 47244.85634926882, 42784.148598773, 40500.7965558797]"
TimeMoE-50M_ZERO_SHOT_5_YEARS,pe,oleodiesel,0.08877221286495458,74.57627118644068,0.41366018272526633,"0.4375, 1.1291, 0.6833, 0.8679, 1.4579",0.1794314672657633,"[115578.53769269092, 107357.23886961426, 106864.22336601395, 107779.75763398128, 110360.54679798966, 115899.77309950863, 121626.30746101943, 128307.31034759586, 127857.49100868357, 126723.23153947013, 121101.97740972767, 111000.45170387112, 116895.87110006307, 114737.85504696291, 114548.15741190324, 114909.92475682395, 118884.84395340603, 124293.2196463014, 129925.84135654329, 137159.32447189905, 135484.0335743096, 135144.24155681295, 128158.11579619962, 116926.17039895558, 117809.12479862307, 111430.87391296723, 111539.08607639864, 112062.9309456328, 116202.75005818943, 120560.22782641178, 125985.66931727606, 135215.89674836, 133289.76031489152, 131819.04953107145, 124919.05320382939, 113793.44175973868, 124671.38379366664, 124400.00244629217, 126282.66272014071, 131099.7639246244, 138853.4306014404, 146124.8989834382, 154112.33364265197, 160602.4921973674, 158497.7168599672, 156205.78949028533, 148249.41075749003, 134120.58863517203, 118815.51849068183, 115850.4597936362, 116052.65353838654, 117748.07949136654, 121758.88399260124, 126694.92854032126, 131634.14173297695, 136551.7568432886, 134113.6934928027, 130975.9078458841, 123447.66914975316, 114469.38265456818]"
TimeMoE-200M_ZERO_SHOT_5_YEARS,pe,oleodiesel,0.09518245718987298,67.79661016949153,-2.7353097776200075,"0.4406, 1.2510, 0.6334, 0.9785, 1.6603",0.17741526125355112,"[113331.3432537738, 109205.29946439453, 108881.86898280519, 107367.7707400497, 109361.19038313207, 111448.54405114225, 117151.99806706257, 125788.08052734117, 125437.26825130262, 126464.28752422429, 118455.11692256646, 113796.82040087329, 118471.19525749302, 115959.61293240178, 115494.9410379023, 115677.88459674158, 119028.8810409036, 123795.87597676872, 128480.75117767695, 136084.70606055076, 137179.01602386692, 140114.49998905763, 133426.76333123678, 126343.04330660467, 123731.09241656614, 118561.10355376227, 115314.99834077613, 115184.4865046465, 121885.72062807868, 127415.56282464649, 132774.8688713812, 142381.92673351342, 143270.61354850468, 145159.6602716401, 141119.12394215737, 125818.97401395178, 127892.69342493353, 127528.98855783125, 129894.10147303922, 130802.90945054276, 137480.6325491571, 147066.31461499818, 153861.59924979933, 159002.2591778259, 160124.56008487064, 161651.08817897414, 155310.17760980225, 145503.0238275432, 125395.70717152239, 122780.1815370286, 121959.22677848866, 121143.13987076894, 125809.26609806792, 129905.31409451143, 136124.4589287859, 143959.59344396158, 143774.02733717216, 145343.4780131294, 139208.8339394161, 130811.99111822012]"
TimeMoE-50M_ZERO_SHOT_5_YEARS,pe,querosenedeaviacao,0.5627991590586656,72.88135593220339,-13.102075973993127,"0.5740, 1.1368, 0.2316, 0.6167, 0.2971",0.3473692820985443,"[19608.760515259684, 18746.296741146296, 18615.900097845526, 19190.81568149844, 21777.07481247771, 20601.330155308722, 20189.71101749295, 20792.566257134975, 20277.54447984746, 22580.85294177413, 23342.560665740013, 19782.557189402072, 21371.861904895366, 20390.497131363958, 20106.842265786112, 20536.633737474887, 23145.270211099385, 21925.577389351904, 21310.2168090322, 21865.930780554114, 21495.959206249834, 23955.37801152551, 25085.68012930286, 21419.436026409625, 16170.733201827154, 15561.072623480215, 15772.501296255841, 16234.940879779875, 17970.544512179255, 17501.103780859947, 17332.061337117044, 17574.11975099057, 17938.49145706269, 20171.81574731761, 21199.660385305047, 18331.075963262705, 17086.36092532134, 15861.40173573175, 16281.32347172764, 17266.60762520954, 20136.635655300975, 18966.698850844026, 18656.503424943625, 19178.978702088178, 19615.66135586846, 22147.92315377879, 22550.553595310448, 19221.520453642548, 17844.875875238267, 16795.39370298159, 17137.93761824921, 17067.113208269893, 19889.885222565532, 18357.600261032014, 17744.676636754153, 18199.085345573603, 18250.90342038262, 20869.083508537948, 21665.283497285007, 17629.46664547515]"
TimeMoE-200M_ZERO_SHOT_5_YEARS,pe,querosenedeaviacao,0.5636421844215485,69.49152542372882,-13.575949573521287,"0.5230, 1.1307, 0.2240, 0.4312, 0.4604",0.3474088237019348,"[19060.987342313798, 18950.804658061774, 18772.030906031876, 19252.047358201475, 22356.28653968209, 20652.722956579477, 19716.58459020072, 20371.87383492419, 19890.11654651907, 22015.150657338618, 23028.467225581586, 19612.81829498628, 21104.143847361684, 20601.981202148498, 20334.47397660816, 20662.53385849309, 24071.47635883093, 21591.712855113983, 21014.394493436397, 21752.86652942103, 21524.682415219784, 23381.53396086669, 24665.315880634786, 21175.160660895348, 16076.815063327938, 15944.183427466183, 15886.546039431958, 16732.384836335925, 18630.03337467873, 17560.28761303976, 17333.045207322983, 18084.2872840853, 18200.619886489807, 20312.42996199423, 20832.073051084637, 17894.027431529998, 18504.571385605275, 17081.346738726377, 17527.986151185363, 18419.177227723063, 20697.311712837396, 18116.3900986034, 18143.52907133278, 18856.687253513097, 19375.868263141452, 21909.123297733306, 22284.212398355365, 18607.817265407382, 18710.820787653804, 18036.120963943868, 17678.44784899223, 17984.661351960778, 20657.174803888738, 17863.827962904154, 17343.243933287562, 18150.41948006779, 18326.987886940926, 20461.9774527573, 21698.203536797642, 17706.948473109365]"
TimeMoE-50M_ZERO_SHOT_5_YEARS,ba,etanolhidratado,0.24444022844527574,55.932203389830505,21.74655021165041,"1.2678, 1.2066, 0.5245, 2.2809, 1.0437",0.5126170067362399,"[43401.94994910085, 41673.61310030043, 40699.6985666517, 40348.05561155212, 39993.73265274882, 39213.00150731671, 38491.22365639901, 37597.62439677071, 36775.418942676544, 38396.984919008726, 37246.8845325045, 34913.34235855973, 44613.302714556936, 42515.66711277819, 41251.42037278831, 40375.615436949134, 39161.90168452686, 37406.059412922026, 36082.8943651613, 34603.37873115793, 33453.096036782146, 34041.71711084723, 32548.920720537863, 29172.100602061033, 40058.12680993438, 37266.232558993695, 35459.352842918786, 34541.27103099507, 33311.646147602376, 31637.792129309175, 30291.711752156854, 28859.44568412599, 27290.65399067795, 29516.640540458142, 27150.467523908257, 23402.60855007541, 31895.683831325263, 29802.874989585816, 28441.908464923978, 28021.889352506994, 27074.677380329907, 26132.235924396275, 25237.460108229876, 24337.198024657486, 23259.43660181832, 26154.220082372543, 24919.020331308602, 22884.9328354758, 30337.462496975302, 29877.467726638017, 29581.91005400887, 29626.30247858411, 29254.58571176219, 28616.963696383027, 28087.590792350886, 27679.844119618116, 27755.06444188261, 28867.398209406016, 28767.604777296423, 28358.680025056154]"
