TYPE_PREDICTIONS,STATE,PRODUCT,MAPE,POCID,PBE,"MASE(2020,2021,2022,2023,2024)",RRMSE,PONTOS
LSTM_PYTORCH_recursive_5_years,ac,etanolhidratado,0.2988750467179795,49.15254237288136,5.807825331546349,"1.8338, 0.6934, 0.3651, 2.0699, 0.9028",0.4103946021751787,"[775.9918788008094, 715.6705737916828, 669.9155591927768, 1143.9634486812354, 993.8326472978592, 1132.401680840373, 1237.4084097670318, 972.9305279173404, 903.140192466721, 893.3045686061532, 855.9785269032121, 903.559181127593, 529.922377393961, 455.9007896177769, 449.62855535554894, 479.99908205938345, 561.9941566728354, 596.6803665491343, 536.4995463653804, 681.8936899344922, 662.8690856007338, 621.6308447397948, 640.4254751478435, 445.7338468248845, 671.8444131793976, 674.5958364746572, 642.3248992962838, 607.462190363288, 592.6434671155215, 587.6913636924029, 586.0219934420586, 584.1759375327827, 577.5253539106847, 562.7660234885217, 548.0021879552603, 538.2472362394334, 450.5337894542218, 394.04534766364105, 402.954538078785, 374.50820030570037, 354.3664617068768, 349.06125354051596, 341.94914927673346, 341.6112392868996, 334.0799730887414, 326.84508455443387, 323.4942948808671, 321.9819104249478, 541.410357379675, 551.4411071985961, 495.9086819720269, 521.1151251139642, 611.4262616103888, 551.0853633666039, 495.33493341481693, 557.2694147441388, 571.1583257131578, 516.0408238844872, 509.87439308941373, 544.4393648279906]"
LSTM_PYTORCH_recursive_5_years,ac,gasolinac,0.0780908900705322,62.71186440677966,2.6478246763156155,"0.8463, 1.1054, 0.6225, 1.2051, 1.0982",0.1752625565207972,"[11683.634387275577, 11132.905573257804, 11559.602317048908, 10979.706911485195, 11286.052606263756, 11874.611758266092, 12018.305966874957, 12466.784923934341, 11499.90115472138, 12749.121045249105, 12711.229192138315, 10556.63736317277, 11508.613966796398, 11136.752831777334, 11311.778012355566, 11244.030817981959, 11967.105242972373, 12116.011393883227, 11866.49102928102, 12185.931390393973, 12180.810256135464, 11999.135949502586, 11200.207881450653, 11448.034383112788, 10878.577142450213, 10771.593550063968, 10672.008616252542, 10793.991646917462, 11738.397496077418, 11723.386340631843, 11776.48597789526, 11791.543635846972, 11764.63040196061, 11787.762286391258, 11265.503624811769, 10127.677741523981, 11428.972382745742, 11445.942768120765, 11144.047163777352, 11225.828361859321, 11498.061852226258, 12041.463604006767, 11744.81199607134, 11322.880669875145, 11455.895446748733, 12515.697209005355, 11107.186076722144, 10714.373065507412, 11480.393398637772, 11964.622877645492, 12080.011624965668, 12435.40663724661, 12746.720763049125, 12562.741221497059, 12653.59884904623, 13192.092911314963, 11766.92301747799, 11808.61658780098, 13091.526350502967, 12478.245270843507]"
LSTM_PYTORCH_recursive_5_years,ac,glp,0.0520980187950456,57.6271186440678,3.625977477058576,"1.6574, 1.3773, 0.8317, 0.9445, 1.0603",0.0864281471475952,"[2975.475694235027, 2952.742478846366, 2945.266195481046, 2943.5533585373273, 2944.8037110549985, 2945.589653799489, 2946.808238089456, 2947.187691920368, 2947.4735257469083, 2947.237269609058, 2946.1317994631886, 2946.978631310779, 3160.219891531825, 2900.040192427032, 3053.591439698572, 3026.960519483555, 2955.404832818133, 3045.502895944771, 2962.4625136274917, 3010.942914896852, 2950.2863776862846, 3065.534047077034, 2977.4508597256972, 2900.489720871326, 3176.2856297968674, 3016.514468387472, 3006.4394477285905, 3177.366872657972, 2990.9196255987176, 3016.63889394598, 3213.188758306364, 2977.225594111067, 3028.115647540911, 3240.095163607078, 2967.2559059849527, 3034.7605820585063, 3107.8751581197575, 3024.600926348545, 3034.9978810927214, 3072.8191595165476, 3056.777167199486, 3043.445341641342, 3051.9315498010264, 3032.4861053113605, 3025.526697428612, 3071.228983229798, 3024.25171651219, 3024.0955227259774, 3124.6688380468913, 3090.2356892413977, 3087.466719172108, 3117.071257812155, 3078.737435936808, 3118.873864065978, 3089.256730446765, 3103.0221602239526, 3110.2619467830295, 3091.211198455749, 3107.995492315607, 3096.6258361549817]"
LSTM_PYTORCH_direct_5_years,ac,oleodiesel,0.0774005923993024,76.27118644067797,-1.9014201941173836,"1.8859, 1.3531, 1.3396, 1.1543, 0.8460",0.0954736997348437,"[9591.470703125, 11731.572265625, 13253.158203125, 14883.4384765625, 15846.98046875, 15339.541015625, 16715.8671875, 17242.64453125, 15231.484375, 15746.392578125, 11683.662109375, 11976.931640625, 11165.9267578125, 13553.310546875, 13717.4541015625, 15109.59765625, 15497.9228515625, 16264.8681640625, 16648.5390625, 15669.59765625, 13891.3759765625, 12503.4609375, 11736.9501953125, 12570.013671875, 12312.26171875, 12248.484375, 12266.9755859375, 14992.78125, 14637.1162109375, 15383.44140625, 16205.5146484375, 15599.9052734375, 14830.009765625, 14407.7529296875, 11039.5751953125, 11633.9326171875, 12368.8154296875, 12279.607421875, 13706.587890625, 13420.2763671875, 14043.3017578125, 14321.751953125, 15080.6943359375, 14317.923828125, 13626.3349609375, 12273.6572265625, 11188.5, 11174.3916015625, 12853.51953125, 12181.13671875, 13126.0859375, 13321.716796875, 14282.8779296875, 14338.103515625, 14082.2099609375, 15885.6923828125, 14499.8125, 12455.08203125, 13432.6259765625, 10050.7822265625]"
LSTM_PYTORCH_recursive_5_years,ac,querosenedeaviacao,0.7226567934288324,38.983050847457626,-12.17402788430584,"1.5408, 1.4647, 1.1006, 0.6409, 0.4963",0.3131805472917833,"[724.8075393828153, 841.4868683840036, 1030.5548803583383, 1058.095708425045, 926.5427198293208, 909.6399233399629, 989.8882284158468, 959.66670380795, 923.9831312894821, 898.1805427609681, 842.2631083325148, 847.8470347406864, 783.1817361243963, 826.7836285507678, 958.8872417842149, 963.1201380419731, 911.825050702691, 940.5209226920604, 963.8495178095102, 933.1850279034376, 921.8422724385262, 926.6926163723468, 921.0179114969968, 915.006639850974, 1002.2381625686884, 888.0581132645607, 785.6543986783028, 687.1879199254513, 613.3424386804104, 570.4108079457283, 550.4078147300481, 531.2504061253071, 519.8810335172415, 509.2198870524168, 507.6352564482689, 492.96213601386546, 667.1464940986633, 675.9514150857925, 704.6908262324333, 751.8307581348419, 743.4341251790523, 742.5155447506904, 717.2963085155487, 733.9644171190262, 743.4820931282044, 735.6908767619133, 733.2198123064042, 739.6375451068878, 676.5394766316414, 731.9629438111782, 731.4628170633316, 748.0788218832016, 749.0704558360576, 765.3219274339675, 755.2897458879947, 755.8723574090004, 762.8318458704948, 761.9536961228847, 761.039058265686, 766.3665155289173]"
LSTM_PYTORCH_direct_5_years,al,etanolhidratado,0.2955654905255773,55.932203389830505,13.585762789396306,"0.5754, 1.5158, 0.5767, 1.7202, 1.1289",0.4213562860982362,"[6516.24072265625, 4792.31201171875, 5163.49755859375, 6044.462890625, 5545.0029296875, 5677.5791015625, 6373.73486328125, 5803.1943359375, 6117.18310546875, 7009.01513671875, 6644.25146484375, 6590.49169921875, 6250.25341796875, 4697.89208984375, 4301.99609375, 4215.6640625, 3749.89111328125, 3773.2958984375, 3848.749755859375, 3750.1669921875, 3825.289306640625, 4155.49755859375, 4355.66552734375, 3672.666259765625, 7268.3740234375, 7024.71337890625, 6684.27197265625, 5962.455078125, 5326.28515625, 5274.2314453125, 5750.66064453125, 5672.0419921875, 5474.162109375, 5658.28466796875, 5588.0830078125, 5822.9248046875, 4665.48388671875, 4425.29345703125, 4384.5849609375, 4148.10205078125, 4114.1005859375, 4142.05224609375, 4082.302490234375, 3899.94677734375, 3632.745849609375, 3809.850341796875, 3792.67822265625, 3791.481689453125, 5480.083984375, 5893.013671875, 5437.03662109375, 5297.71142578125, 4261.15576171875, 3501.706298828125, 3369.547607421875, 3015.008056640625, 2934.399658203125, 2807.49072265625, 2910.8876953125, 3194.65185546875]"
LSTM_PYTORCH_direct_5_years,al,gasolinac,0.0953042488571767,54.23728813559322,4.165053875130799,"0.5851, 1.2900, 0.7092, 1.2559, 1.5173",0.2185448549536528,"[37690.30859375, 38033.3828125, 36827.78125, 36055.828125, 36335.94921875, 39871.5234375, 38436.75390625, 35419.07421875, 35404.15625, 38704.54296875, 39215.484375, 35218.20703125, 37000.40625, 38583.90625, 36722.57421875, 35468.8125, 34642.92578125, 35319.1328125, 34888.8828125, 33552.40625, 35141.0625, 35883.1640625, 36952.90234375, 35927.74609375, 36302.23828125, 36729.828125, 36161.7890625, 36616.33984375, 36151.8828125, 37582.65234375, 37304.5234375, 35442.890625, 36819.04296875, 38157.41015625, 37260.6171875, 36973.296875, 35621.8046875, 34799.203125, 36291.21484375, 35411.41796875, 35949.9765625, 36481.49609375, 35796.765625, 36401.32421875, 36316.6015625, 36487.5703125, 36380.91796875, 36384.234375, 36428.19921875, 37369.34375, 37461.03125, 36191.51953125, 36936.09375, 39121.68359375, 36576.66015625, 36380.9140625, 36180.6796875, 37271.65234375, 36780.28515625, 34615.31640625]"
LSTM_PYTORCH_direct_5_years,al,glp,0.0529894325144759,83.05084745762711,4.778613095188086,"0.6652, 1.1457, 0.4341, 0.8751, 1.9349",0.080375999198677,"[13598.7197265625, 13361.0732421875, 14679.67578125, 13868.6025390625, 14533.8798828125, 15782.966796875, 13522.18359375, 15916.3466796875, 14360.4091796875, 13854.765625, 14610.8876953125, 13716.1865234375, 14112.2548828125, 13986.8955078125, 14073.8896484375, 13944.6005859375, 15544.3662109375, 15117.419921875, 15067.375, 14575.3603515625, 13377.1337890625, 15144.705078125, 13864.19140625, 12888.8876953125, 14341.0576171875, 13909.8974609375, 14025.771484375, 14751.49609375, 14557.015625, 15413.8525390625, 14680.40234375, 14596.693359375, 14458.8623046875, 15012.2578125, 13707.4091796875, 13253.4052734375, 14682.58984375, 13681.6201171875, 14920.736328125, 14626.0498046875, 15056.203125, 15688.64453125, 14833.1416015625, 14330.6884765625, 14034.66015625, 14648.7255859375, 14039.568359375, 12661.0703125, 14309.5625, 13141.2138671875, 13753.0302734375, 14379.3955078125, 14935.2060546875, 15143.6875, 14563.5810546875, 14068.3564453125, 13943.15625, 14644.626953125, 14000.16015625, 13383.0546875]"
LSTM_PYTORCH_recursive_5_years,al,oleodiesel,0.0973589018514075,74.57627118644068,2.0608031360814154,"2.8213, 1.1695, 1.1194, 1.3103, 1.2287",0.1423933032178875,"[31369.061493687946, 27636.830393810724, 26127.936085904796, 27446.790137697015, 27485.984263926577, 30151.680393794148, 34056.88230645688, 37921.962308047, 41325.65291678862, 45105.595015134844, 39344.29384065112, 37523.511784340466, 26294.466386457294, 23028.41238630313, 21744.125735772333, 22702.516306693175, 22345.204982851854, 26225.089846222752, 31822.628472488173, 31311.994186367883, 36548.921897440414, 35223.185800929416, 29303.6223816473, 28341.10692425889, 25287.460740497994, 20376.865456841184, 20316.345891013116, 20762.791077786333, 25470.25734052711, 26791.462508262757, 30873.94002696958, 35287.63891766573, 32994.88417222642, 34938.66854007977, 32144.920766100186, 27816.05184396923, 32153.988787480987, 26731.47560008575, 26791.077012055306, 26796.85701531762, 27863.974852511015, 29387.73220939592, 34281.753210742485, 36687.92859383545, 36130.07012341086, 34503.41789607155, 29806.47046622115, 28353.12921804094, 31850.901447500262, 28186.24428858641, 27225.23550241785, 25941.231360766593, 27532.804203706877, 30222.364372281896, 33831.097614359074, 38280.75269428585, 39841.3070895574, 41721.445802417424, 40493.40127645217, 36604.6593584166]"
LSTM_PYTORCH_recursive_5_years,al,querosenedeaviacao,0.8872141072472047,71.1864406779661,-5.256695397772788,"0.6397, 1.0399, 0.4788, 0.2684, 0.6050",0.4106559378706289,"[2537.720042978197, 2293.750730545908, 2288.2888754696696, 2565.077914820403, 2830.1344236748814, 3232.623150585234, 2976.2218548200353, 2660.9154846050515, 2557.405786742747, 3720.80740661858, 4387.284437155485, 2849.3322671212104, 3105.44560083808, 2485.4064111549255, 2382.466066169709, 3155.1871860057263, 3276.984002127547, 3152.8432982063664, 3351.237637136161, 3050.034606841158, 3795.3062907483127, 4007.7954881402698, 3934.87461362192, 3958.539358185887, 4467.018698514848, 3437.197314004, 3462.0320922293995, 2623.9325080407707, 3580.356069747668, 3338.810314784575, 3867.153713251017, 4437.010740417152, 4487.767655418038, 5423.6305587732495, 4789.96245594123, 4399.894047175556, 5026.71840311335, 4603.430594648197, 4275.099455967382, 4283.755535031333, 5177.9700487459595, 4357.610032125622, 4589.184292497784, 4999.6970388408, 4687.759106341689, 6080.858470414847, 6135.88413115251, 4096.403799482531, 4434.903534968577, 4197.879497335486, 3953.7225806660326, 4201.691093587976, 4589.090946853355, 4229.796698108509, 4211.217142840575, 4692.952891370475, 4777.484439919896, 5701.195155527636, 6613.114931645066, 3969.0242707682382]"
