TYPE_PREDICTIONS,STATE,PRODUCT,MAPE,POCID,PBE,"MASE(2020,2021,2022,2023,2024)",RRMSE,PONTOS
Times-FM_200M,pe,gasolinac,0.07439769548692626,81.35593220338983,-5.202454721805293,"0.7910, 1.1966, 0.6899, 0.6009, 0.6009",0.1447995389101714,"[112592.297, 115411.188, 115446.078, 120449.297, 116490.547, 124318.203, 123395.312, 126947.75, 125208.844, 133360.922, 126484.234, 122251.688, 112373.156, 114434.727, 113337.438, 114632.625, 114645.258, 118280.805, 116915.547, 122060.383, 119212.016, 124745.891, 121320.961, 116579.344, 107390.211, 105913.25, 107401.023, 109717.961, 111206.344, 116054.508, 117401.508, 120244.227, 119953.109, 124971.961, 123292.414, 116979.266, 109320.406, 107180.789, 108158.312, 109681.391, 111940.391, 119434.461, 119596.164, 121921.328, 119151.781, 127701.453, 121328.797, 114984.867, 123424.516, 121033.578, 121386.664, 121194.664, 125039.523, 128981.664, 129276.07, 130683.656, 127893.633, 134595.016, 126904.461, 119625.266]"
Times-FM_200M,pe,gasolinadeaviacao,0.4192147284607979,45.76271186440678,3.0148700599306015,"0.5953, 0.9992, 0.7019, 0.8160, 0.7473",0.11467458007334559,"[24.711, 25.837, 27.45, 26.457, 28.558, 28.756, 29.512, 28.654, 27.81, 28.956, 30.625, 28.903, 27.78, 30.287, 28.955, 29.843, 30.295, 30.78, 29.703, 30.598, 26.763, 28.376, 29.919, 30.29, 26.602, 27.572, 27.901, 28.699, 29.479, 29.614, 30.133, 29.526, 27.425, 27.483, 30.421, 29.971, 31.913, 31.287, 32.217, 31.377, 32.879, 32.86, 32.785, 32.449, 31.178, 32.641, 33.844, 34.304, 27.18, 30.623, 30.001, 31.771, 30.736, 32.243, 29.521, 32.198, 27.352, 29.496, 29.839, 32.064]"
Times-FM_200M,pe,glp,0.054091171913146906,91.52542372881356,5.089183372114978,"0.4959, 1.0133, 0.9030, 2.1920, 3.3884",0.08003119459190272,"[45614.465, 45311.348, 45796.285, 46288.789, 49631.555, 49034.039, 46865.383, 47671.305, 45232.734, 47245.219, 43588.117, 42573.141, 45832.539, 44731.566, 45627.523, 46334.586, 49255.203, 49462.922, 47803.066, 47599.719, 46011.367, 47535.992, 43431.719, 42241.668, 46403.805, 43908.586, 44960.234, 45118.953, 46609.027, 46418.516, 44413.477, 43733.398, 41981.898, 42537.617, 38046.383, 36219.148, 43980.668, 41831.293, 42737.301, 42971.887, 45111.195, 45301.211, 42502.184, 42328.812, 40454.875, 42068.258, 37882.352, 36370.633, 44602.156, 41194.797, 42717.875, 43208.086, 45004.828, 44849.723, 42712.676, 41103.891, 39048.477, 41435.211, 36327.75, 34223.324]"
Times-FM_200M,pe,oleocombustivel,22.053652362514445,61.016949152542374,17.23302287766383,"0.6109, 0.6442, 0.8869, 0.1329, 7.2787",1.3458556671671833,"[16557.729, 13090.193, 12762.781, 13072.452, 13327.972, 14481.838, 14232.9, 12717.041, 11304.755, 10728.131, 10543.523, 11177.422, 992.919, 1649.384, 1978.062, 2336.234, 3232.039, 4222.192, 3875.305, 3971.796, 3541.026, 3953.391, 4935.388, 5159.778, 7988.918, 7079.827, 7455.669, 7739.576, 8060.253, 8799.043, 9072.148, 10152.535, 10108.518, 10028.948, 9595.211, 9371.4, 2313.197, 2633.65, 2870.615, 3838.93, 4235.203, 4728.559, 4770.932, 4731.23, 4202.385, 4274.002, 4225.837, 3704.635, 471.584, 2078.229, 2186.011, 2757.488, 3417.636, 4350.466, 3722.809, 3371.574, 3207.407, 3688.128, 3033.721, 2865.485]"
Times-FM_200M,pe,oleodiesel,0.08632830541527246,62.71186440677966,1.8804445904652602,"0.8868, 1.2423, 0.8103, 0.3161, 1.3917",0.18301037579010618,"[116782.453, 112141.156, 111232.281, 116738.156, 118094.906, 125241.828, 130649.0, 140446.812, 138526.688, 137118.094, 126549.75, 116648.562, 121239.781, 116259.273, 116728.086, 115487.039, 117534.664, 124408.531, 128831.117, 140108.719, 140760.359, 138857.375, 131727.109, 119905.234, 117012.969, 109002.484, 106205.289, 105322.242, 109769.812, 115023.18, 120984.617, 128466.727, 131281.75, 129664.984, 123089.977, 111653.594, 120227.359, 113613.906, 110040.148, 113437.438, 120240.148, 128153.273, 132227.344, 140613.656, 139458.719, 138235.281, 126985.5, 117155.664, 119941.219, 116041.383, 113949.234, 116340.828, 120408.516, 126880.516, 130436.93, 138464.922, 139550.969, 138333.281, 128422.062, 123873.977]"
Times-FM_200M,pe,querosenedeaviacao,0.5627477110206645,66.10169491525424,-13.118979113062535,"1.0801, 1.0502, 0.3048, 0.5120, 0.5757",0.33526559196065825,"[19606.559, 18512.6, 18633.934, 18355.418, 20157.367, 19121.652, 18434.406, 18888.301, 19266.631, 21380.441, 20966.566, 19213.754, 21563.984, 20760.852, 19891.992, 20677.691, 21540.814, 20358.662, 20750.947, 20421.582, 20668.541, 22289.062, 22831.465, 20492.512, 17377.457, 16842.016, 16201.936, 17437.262, 19294.607, 18885.186, 17599.23, 19012.66, 18044.746, 20134.516, 21366.865, 19837.65, 18755.738, 17665.77, 16323.497, 18214.205, 21107.371, 20532.832, 20621.414, 20162.66, 18686.52, 21426.996, 22498.137, 18856.039, 17538.115, 16790.904, 16185.812, 17825.109, 20543.379, 20530.248, 18479.105, 18969.473, 18443.4, 20694.613, 21413.77, 19384.48]"
Times-FM_200M,pe,queroseneiluminante,9324703028470612.0,0.0,-1.2423e+24,"698733333333333377024.0000, 163183333333333344256.0000, 57725000000000008192.0000, 0.0000, 115608333333333344256.0000",0.01737287720516777,"[5.991, 4.094, 4.717, 8.237, 8.824, 5.456, 8.786, 7.407, 4.972, 11.321, 7.967, 6.076, 0.0, 0.0, 0.0, 0.087, 0.227, 0.0, 4.549, 4.203, 1.372, 6.572, 2.342, 0.23, 0.0, 0.0, 0.0, 0.169, 0.0, 0.0, 1.191, 1.669, 0.0, 3.898, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.818, 4.017, 1.101, 5.087, 0.655, 0.195]"
Times-FM_200M,ba,etanolhidratado,0.2056435432970645,49.152542372881356,5.034678901897655,"0.8964, 0.7735, 0.7430, 1.4525, 0.8954",0.42340169373298575,"[43105.996, 42914.145, 41109.504, 41731.027, 41220.238, 42082.156, 41942.812, 42338.234, 42280.066, 42440.531, 42162.605, 43192.293, 45012.316, 44879.918, 43982.789, 44302.016, 44046.074, 43647.93, 43103.574, 44497.0, 43921.23, 43716.211, 41946.395, 41032.008, 41957.277, 39476.332, 41456.289, 42847.207, 42265.156, 43825.895, 44005.574, 43643.77, 46852.977, 47397.883, 44709.875, 42843.699, 34648.59, 34064.121, 34755.059, 35507.41, 36683.164, 37042.402, 38839.809, 39068.672, 39821.477, 40542.719, 41121.906, 40878.137, 31494.055, 31359.5, 30476.639, 30771.371, 29833.551, 29963.494, 31185.072, 31149.449, 31479.09, 31585.576, 31365.504, 30305.906]"
Times-FM_200M,ba,gasolinac,0.086549884369373,69.49152542372882,-7.033809122176912,"0.9243, 1.5646, 0.9610, 0.6655, 0.7790",0.1686554046827074,"[170892.484, 175230.469, 173707.438, 183519.469, 178363.719, 183359.156, 183378.391, 184071.484, 176518.812, 201082.703, 193373.125, 179439.516, 178992.953, 181904.375, 179386.703, 185192.312, 184397.75, 186101.094, 185508.609, 191323.312, 184402.203, 206612.547, 203789.422, 189727.844, 169140.219, 168376.406, 168621.078, 177368.453, 179136.156, 182421.453, 185681.906, 193518.281, 183624.266, 212222.438, 211512.344, 190164.062, 170935.75, 171158.422, 174729.875, 179609.484, 183617.688, 188339.203, 190361.062, 195549.891, 187299.094, 214951.844, 208329.641, 188348.531, 195059.109, 195392.078, 195820.25, 198324.344, 205668.203, 207510.516, 208504.812, 212010.578, 207581.859, 231026.812, 219467.141, 199559.094]"
Times-FM_200M,ba,gasolinadeaviacao,6149289991205465.0,57.6271186440678,0.618950258177416,"1.1813, 0.5782, 0.7446, 0.8609, 1.0759",0.3144596935827554,"[133.613, 121.078, 107.754, 125.709, 123.191, 116.67, 116.121, 103.038, 122.374, 177.174, 202.93, 190.456, 71.993, 70.175, 70.836, 75.0, 81.925, 73.279, 78.931, 77.262, 74.921, 106.05, 115.415, 98.294, 114.869, 101.011, 105.269, 102.753, 118.494, 115.849, 106.748, 114.208, 115.862, 152.872, 171.178, 163.874, 104.857, 93.752, 100.907, 102.315, 113.854, 112.379, 108.469, 112.313, 117.823, 152.252, 166.431, 158.13, 98.238, 91.276, 112.288, 99.453, 102.202, 98.231, 102.351, 100.239, 105.538, 145.004, 150.416, 148.468]"
