TYPE_PREDICTIONS,STATE,PRODUCT,MAPE,POCID,PBE,"MASE(2020,2021,2022,2023,2024)",RRMSE,PONTOS
LSTM_PYTORCH_recursive_5_years,pe,gasolinac,0.09227360050224807,64.40677966101696,-3.5313257703298175,"0.5419, 1.8405, 0.7838, 0.8804, 0.7248",0.18373458340718574,"[113877.75949455428, 110331.5311872344, 109383.55703731718, 112430.74722356941, 111426.5962606495, 115539.66070701904, 113333.19350391359, 113133.07222014455, 113268.96682461593, 115661.46517462323, 114086.73448290736, 112950.07269193295, 122572.62180486259, 118838.97285874117, 118371.07772967339, 124031.9978742938, 129179.41080864311, 130991.34269606296, 130115.82882620442, 130206.44819599361, 129279.87911137423, 125800.70240076793, 123452.66013594824, 122362.35684744561, 116508.73369812396, 110209.67313041094, 108710.93386552365, 109809.91669364768, 114273.46611746111, 118447.93998131514, 116562.54110207457, 119034.1256563234, 122249.79269236448, 124215.13520335495, 121956.97737046015, 119378.06892121473, 109564.9354916458, 109187.0070922325, 110769.44506202011, 113687.31872046662, 116491.89902766976, 117447.50964133325, 118035.97285816059, 118670.36969150689, 119978.62416259068, 119718.68965451118, 117564.57146303185, 118229.98114313123, 115550.45893470237, 112130.34137153532, 114914.93672775134, 111871.10735110774, 115227.05565199777, 116270.40712881526, 116585.75288962215, 117030.70034943732, 116491.32102966189, 117167.01601206014, 116878.62562854713, 116804.67250595159]"
LSTM_PYTORCH_recursive_5_years,pe,gasolinadeaviacao,0.9179323170802586,49.152542372881356,-54.88569674371205,"3.1731, 1.1305, 2.0896, 2.6283, 0.8453",0.2566422018281594,"[58.05571286642553, 59.10591152802111, 60.70686195614935, 62.04832109615208, 63.30604234057667, 64.40918513676526, 65.34361930754783, 66.18312524110081, 66.93874425515534, 67.61878104636075, 68.21796558699013, 68.68587360146644, 31.7219804108441, 37.79047830268742, 31.413934419959798, 31.83846292600037, 37.08165279960634, 31.25609099310638, 33.877597870320095, 36.125366303056495, 32.66732042306663, 35.512661228567374, 34.791399001956, 33.00762331888081, 58.824974343001855, 58.772423089653266, 59.66457510995866, 60.09362852412464, 60.94666853916647, 62.05348274284603, 63.50176493844391, 64.51812162250282, 65.7778072731495, 66.6305221450925, 67.2930553994775, 67.75700750625136, 47.4345071142316, 46.05646937561037, 49.49938255387546, 50.19185606861116, 53.10031527817251, 54.27627658087017, 57.84764837843181, 58.377469057977216, 63.696214059174075, 62.93215487217905, 66.66019145286084, 67.38509799170495, 21.41604153585435, 21.239597214221966, 22.18205158144237, 22.272712315499795, 21.342261147677913, 18.298542409002795, 21.233771733701243, 19.002585599005236, 20.649625061392797, 17.862986132860197, 18.998738072335733, 18.993942211627974]"
LSTM_PYTORCH_recursive_5_years,pe,glp,0.042848553328510085,71.1864406779661,-2.8408212565813327,"1.1770, 0.9313, 1.2344, 1.4932, 0.6851",0.06344265635570831,"[45843.509866034496, 46641.942826536964, 43985.81886040853, 48886.01880935346, 50197.56271071823, 49765.926621262246, 50998.23245052539, 49557.7305271198, 51018.09531512349, 49112.68131533265, 45762.19363806558, 48851.11126706814, 45673.02838250699, 46294.54994514469, 46118.21827817611, 48290.7163790552, 51353.14389401278, 51074.04406754185, 50101.24240510857, 49692.6388164372, 48173.97047331953, 48786.76113759061, 45648.88740603486, 44585.53819808854, 48315.45785854032, 45446.90406319039, 47603.67295071492, 48827.23183043029, 51837.000140921205, 51895.13751910076, 49720.80580682036, 48852.34154289508, 47334.73163354718, 47936.79349949015, 44609.571537228156, 43592.9680897699, 46924.50593139102, 46451.456850342256, 44456.18172907997, 47457.943332730945, 47368.093541505026, 48482.12010513769, 49245.34621603547, 46899.507633007255, 47182.74111072173, 48410.492181282534, 47007.87765473618, 43451.806449108044, 45954.12044381663, 42471.38944539911, 46324.32488620573, 44840.40829449737, 48677.36667282851, 50023.069376086605, 48243.735515972425, 47454.64245453372, 45788.12762589255, 48594.53502452019, 44100.469614908594, 42673.475704640456]"
LSTM_PYTORCH_recursive_5_years,pe,oleocombustivel,74.8816413462193,49.152542372881356,-133.33456132524583,"2.3266, 0.7681, 0.9102, 1.1757, 2.6968",2.311417999902863,"[22083.644413758353, 26490.030802975387, 32855.21343763216, 39876.72461751051, 42762.564133538195, 43676.14347080918, 44123.762717573445, 44264.43989287388, 44453.718690871916, 44622.89999530863, 44770.58881093633, 44899.10201484954, 5088.658962309542, 5093.830100900117, 5210.239482126567, 5279.452821643862, 5189.0683706332475, 5076.330497806105, 5055.352128751162, 5092.382182094756, 5130.542834375653, 5143.538845860782, 5144.370929070356, 5174.835986921463, 15670.818591076319, 12512.605708826666, 10896.90474210501, 14267.300369769995, 14383.504658829574, 11168.374813067143, 10668.770355566088, 10451.521727076059, 9594.4874096216, 9533.465902705972, 16636.908411893313, 11174.769606864695, 9871.338047634485, 10572.173751447024, 8675.952049900592, 20841.473856607456, 36200.813784830614, 35426.69026854365, 39911.81470626353, 46025.549064211875, 43815.46544351713, 39802.40197203687, 45289.194510972244, 59639.45147261653, -313.0765064415923, -364.9867634586087, -421.11502407127534, -450.1687084126464, -469.08123517298617, -483.1806088941685, -492.2023187124125, -499.8967508034698, -505.6309684575788, -510.5338662540904, -518.388894226729, -523.0272811594597]"
LSTM_PYTORCH_recursive_5_years,pe,oleodiesel,0.17264979840512862,61.016949152542374,0.09388487515976471,"2.7979, 2.8333, 1.0037, 0.8475, 2.8199",0.2865684064377753,"[121440.31388105151, 107210.65283970449, 102500.82910183033, 114423.18509382558, 116026.63217732793, 130251.04585182342, 154334.20504649187, 160371.52843902065, 163308.92748405106, 168080.31898155712, 154466.99531466296, 164907.1129070675, 113478.8840183107, 115923.44015203661, 117424.22153659869, 121641.24444255937, 130678.4677335479, 141678.01519993134, 154391.37958411704, 169945.89742719254, 171947.0019693415, 171857.71137181518, 171055.28009478285, 155693.12518203497, 122647.13799099927, 134569.07639513328, 123229.54882305463, 107521.68032060486, 115521.97657907692, 127194.65109809232, 127924.79879800521, 122085.23411599979, 116160.32441390566, 104668.87127116161, 101567.28832773065, 103088.26461392829, 115572.06574876833, 107931.26802132207, 113138.00301289179, 118333.47836093965, 123551.16040626944, 125156.9783628881, 121439.68122074733, 116973.21168488426, 107422.30950477328, 109762.10572174033, 104323.54922017414, 97583.73898201602, 121747.20221931563, 116953.95188082667, 106927.88213741558, 114322.91912244112, 110373.87327432958, 114665.44643393875, 117908.01430637274, 118342.84429828072, 121318.6518083999, 120244.20652368889, 119261.24477390993, 115207.09769842357]"
LSTM_PYTORCH_recursive_5_years,pe,querosenedeaviacao,0.5907715979125262,66.10169491525424,-0.8936630706353867,"1.7493, 0.9476, 1.0303, 0.5378, 0.5984",0.37932167686419516,"[18850.904303127467, 17263.313922641486, 17174.369175450563, 19831.711225804986, 21916.09436652291, 18806.131876737014, 17782.581601568647, 16911.36038617039, 16619.635013227315, 19282.29335719037, 22670.288697832228, 18045.551669609824, 19374.86833095938, 19763.763254498423, 19221.107468720526, 19695.39391366327, 21828.10381077671, 19144.298370073706, 19581.80361315015, 19330.777206977575, 19985.450298145086, 20413.28391798508, 22042.988136370062, 19586.513175861746, 12813.104450351238, 9510.708076838375, 11219.827053519726, 9345.262086935045, 10767.620106862903, 10802.800781774164, 10858.449238608837, 9589.05277443111, 9778.577191372871, 10686.443900264621, 10260.204623759748, 8449.826809740067, 20510.55941025269, 21306.046766315878, 20530.4826843555, 20738.380976376295, 16855.195917684734, 18180.95692235422, 16773.25154984036, 17973.818095395207, 21098.137546740232, 20719.01734918952, 19197.629696591077, 17629.18526093787, 18876.258894511757, 17136.8196903615, 17388.228578754693, 18675.937690967083, 21362.148832894265, 18738.049912710667, 16981.81388595295, 17384.775666558326, 16723.54795689401, 18438.35508647746, 21808.91840033686, 17955.316183961986]"
LSTM_PYTORCH_recursive_5_years,pe,queroseneiluminante,8.098964521821805e+16,0.0,-9.292429041825536e+24,"1981366352913777033216.0000, 623983009780446789632.0000, 2015802190336585105408.0000, 1527784841014941581312.0000, 2842720493703087521792.0000",0.09260177459091472,"[19.83555691754818, 19.75984279310703, 19.9311919426918, 19.634730715632436, 19.854448694229124, 19.766385081529616, 19.772633334517476, 19.745876109957695, 19.824383571028708, 19.784247734189034, 19.863931336998938, 19.990734118223187, -6.22267190504074, -6.223701029062271, -6.226273839116096, -6.2274499808549875, -6.228479104876518, -6.230390335202217, -6.233036654114723, -6.237888238787651, -6.244945089221, -6.255750891447067, -6.267953361988067, -6.279420743942261, 17.44218198776245, 17.403516328096387, 17.93476484978199, 18.46513126516342, 18.91434390056133, 19.48197930729389, 20.1783287255764, 20.956971311151978, 21.720985633850095, 22.424391902565954, 23.161391719698905, 23.812275908887386, 15.2067775952816, 15.21082058250904, 15.212290759682654, 15.215525149464606, 15.220450242996215, 15.231329554080961, 15.248604135870933, 15.273450130105017, 15.308513855695724, 15.351957591176031, 15.401870106220244, 15.452591218709944, 27.920428739547727, 27.956742115736006, 28.011212180018422, 28.088764025926586, 28.182781856179236, 28.287826015233993, 28.409630194067955, 28.54503351175785, 28.694624039173124, 28.856784581422804, 29.021223898291584, 29.15140808701515]"
LSTM_PYTORCH_recursive_5_years,ba,etanolhidratado,0.27253840460241796,49.152542372881356,2.6185681794074744,"0.5090, 1.1155, 0.7359, 2.1189, 1.4791",0.5357404179620339,"[47314.18145323825, 49310.3660132339, 46893.98024042248, 51864.39433646464, 49487.551053013085, 45337.30303807044, 47438.333107302904, 47241.12176808619, 43568.89737982821, 49100.83702954745, 48629.01573443865, 42511.5753838284, 48648.9925280478, 46315.12924571371, 39424.287434004305, 50066.369200351946, 45915.34972519826, 29535.032515266314, 33492.26339560568, 37891.340586156606, 39031.462858206505, 42096.98242233074, 45387.66471611237, 48036.87934277129, 46998.34194151282, 48596.749793728115, 47510.60261637068, 48963.146635798934, 42645.45694646013, 47025.286845713854, 45319.60839390469, 35970.95661630011, 43371.222544854165, 46310.26880694842, 38551.06192237157, 42395.05956737184, 37876.004774815556, 42638.168271697046, 44245.07827485752, 48558.12007807279, 52971.63805661821, 51537.36827621579, 52728.121096168754, 50281.2215114572, 40215.62507363272, 47853.33450131535, 45331.13945783985, 37917.7111781137, 19096.88408641493, 18215.00742651498, 21390.57991440332, 20798.909080227015, 22431.06668446767, 26322.541042198955, 24325.807678790687, 25990.345205465317, 26074.224900714336, 24632.20129415619, 23905.848501847267, 22743.640602650405]"
LSTM_PYTORCH_recursive_5_years,ba,gasolinac,0.11362184151355877,59.32203389830509,1.4018170443164288,"0.6717, 1.6848, 1.0546, 1.7984, 1.4967",0.23013303363708165,"[172226.2102002299, 172750.84947870474, 170328.04445805596, 169699.97065834064, 169633.11184232967, 169563.97427428514, 169912.6233354246, 169744.41210663028, 170233.85796854572, 171005.6608717808, 170308.47263855932, 170718.01180479943, 186999.5678448478, 189966.79217431377, 172102.74116872455, 182884.66219929623, 192806.42952443706, 177434.36159298336, 189605.6793806048, 202810.0931155567, 180480.25492031968, 186927.16252325254, 203409.9832638515, 184584.4203564134, 178371.81935851823, 173697.61311231588, 178482.20580855155, 183340.32585149544, 185434.64356123089, 191185.02804892164, 186877.98427822304, 188803.6165011267, 190818.04486609058, 192273.7452102294, 190080.24395068668, 189645.6963484231, 168360.7353642029, 159462.31277845186, 160308.79397168118, 157868.03076559, 162686.28999884985, 158857.23470991815, 161940.75636398172, 160940.34951942755, 158563.5243938728, 165906.02203144925, 160604.2335944728, 159401.59039875472, 176350.35809387706, 165330.57063116954, 156022.40934378456, 157207.97635833724, 162169.79696971335, 167244.3695376754, 170162.80601744758, 166861.6114914646, 166948.71592040345, 185711.83581685, 180386.05686354023, 179000.58719438594]"
LSTM_PYTORCH_recursive_5_years,ba,gasolinadeaviacao,8291624364465385.0,49.152542372881356,20.926343809469145,"1.0714, 0.9037, 1.6691, 0.8955, 1.5602",0.43025570945711294,"[147.05998044753073, 173.41288209354877, 184.20989303982256, 184.6786144338846, 125.8902242282629, 132.84986522084475, 131.93177843904496, 104.21901037943363, 76.23179170036316, 105.67602668464184, 61.484545485138895, 88.02501691293716, 50.08682389223576, 48.50509949982167, 18.652321518063555, 114.68246562886237, 110.4666273716688, 134.53792798745633, 90.3967187384367, 78.0245248451233, 91.95613549673557, 63.015809370994575, 46.35123795831204, 33.20519542849065, 119.53492721283436, 142.37374554806948, 89.17703651452065, 56.14727722346783, 59.4215679718256, 18.19600131201745, 20.43797655785085, 18.757419773459446, 4.381309931278242, 39.84093334484101, 37.896311029434216, 51.030938664555556, 128.51351788797973, 150.94462531057, 147.98495262107252, 147.83880776372553, 164.60918420040608, 134.8808562399447, 97.02594340831041, 169.26508276569842, 88.28962387079001, 109.37900574171543, 142.78968925020098, 112.55522260510921, 84.8920320854187, 124.13455521154404, 85.51639154702424, 95.17921321958303, 90.75569131046534, 89.20559556412697, 75.49998267954588, 63.55754866093397, 50.879161954462525, 37.29801447242498, 30.9098066996336, 26.839857257544995]"
