etanolhidratado,ac,LagLlama,"[438.39739990234375, 476.9895935058594, 547.4361572265625, 568.0856323242188, 553.4027099609375, 528.75390625, 546.1986083984375, 517.4769287109375, 514.4597778320312, 513.0444946289062, 434.73419189453125, 417.8636779785156]"
etanolhidratado,ac,LagLlama,"[439.419189453125, 478.591064453125, 549.8198852539062, 569.6619873046875, 553.546142578125, 528.3639526367188, 546.5961303710938, 517.0081176757812, 511.86419677734375, 511.061279296875, 433.8504943847656, 417.98150634765625]"
etanolhidratado,al,LagLlama,"[5349.216796875, 4775.5927734375, 6290.29931640625, 7079.55078125, 5723.3310546875, 4744.9384765625, 3946.015625, 3739.688720703125, 3726.297607421875, 4883.56396484375, 3602.34912109375, 4042.80224609375]"
etanolhidratado,al,LagLlama,"[5311.5888671875, 4746.46533203125, 6282.49267578125, 7079.29443359375, 5733.2578125, 4752.6318359375, 3980.26123046875, 3759.823486328125, 3727.009765625, 4906.16162109375, 3630.125, 4052.51318359375]"
etanolhidratado,am,LagLlama,"[8947.634765625, 8601.2646484375, 10370.58984375, 10647.263671875, 8484.228515625, 7999.8623046875, 8928.142578125, 8245.5087890625, 6641.01318359375, 6735.68994140625, 6692.1953125, 7542.59765625]"
etanolhidratado,am,LagLlama,"[8980.19921875, 8630.4404296875, 10439.2763671875, 10795.7197265625, 8496.158203125, 7970.6533203125, 8894.58203125, 8259.9736328125, 6676.7255859375, 6735.91162109375, 6787.75, 7614.80224609375]"
etanolhidratado,ap,LagLlama,"[35.625823974609375, 30.194210052490234, 45.539424896240234, 42.922122955322266, 42.390289306640625, 43.84117889404297, 34.248634338378906, 47.39553451538086, 38.18345642089844, 39.65473175048828, 46.48671340942383, 42.60987091064453]"
etanolhidratado,ap,LagLlama,"[35.40529251098633, 30.339054107666016, 45.18970489501953, 43.49167251586914, 42.640708923339844, 43.72172164916992, 34.910884857177734, 48.309478759765625, 38.39066696166992, 39.40848922729492, 45.731475830078125, 42.22084045410156]"
etanolhidratado,ba,LagLlama,"[35364.921875, 42235.3046875, 46360.6796875, 48842.53125, 45884.32421875, 43994.859375, 39650.03515625, 34821.08203125, 29899.86328125, 34664.4296875, 36396.8515625, 35636.8203125]"
etanolhidratado,ba,LagLlama,"[35649.11328125, 42318.6640625, 46494.5, 48851.15234375, 45871.0859375, 43980.40234375, 39447.30859375, 34532.3203125, 29907.046875, 34987.9765625, 36947.26953125, 36198.3359375]"
etanolhidratado,ce,LagLlama,"[12050.5859375, 11257.9013671875, 11524.306640625, 11577.67578125, 10479.806640625, 10024.595703125, 9375.376953125, 9104.3251953125, 7782.1748046875, 9797.9951171875, 9892.1884765625, 9032.388671875]"
etanolhidratado,ce,LagLlama,"[12064.4326171875, 11285.9443359375, 11550.240234375, 11579.68359375, 10466.478515625, 9999.0654296875, 9351.998046875, 9097.4384765625, 7771.3828125, 9760.14453125, 9909.80078125, 9051.208984375]"
