TYPE_PREDICTIONS,STATE,PRODUCT,MAPE,POCID,PBE,"MASE(2020,2021,2022,2023,2024)",RRMSE
PYTORCH_5ANOS_direct,pe,etanolhidratado,0.38218215181461385,49.152542372881356,-14.681262795229916,"0.6318, 1.0581, 1.3901, 2.0842, 0.5293",0.44284717285356595
PYTORCH_5ANOS_recursive,pe,etanolhidratado,0.4115541541332013,47.45762711864407,-24.724438989292377,"0.7259, 0.8186, 1.0456, 2.9998, 0.5040",0.46043584473158367
PYTORCH_5ANOS_direct,pe,gasolinac,0.09469276814750896,69.49152542372882,-4.286587380448482,"0.4509, 1.6849, 0.9070, 1.1489, 0.7258",0.1885068750751914
PYTORCH_5ANOS_recursive,pe,gasolinac,0.07430912241207181,66.10169491525424,-2.7214826370023077,"0.4422, 1.4669, 0.6388, 0.8053, 0.4866",0.15167003840726279
PYTORCH_5ANOS_direct,pe,glp,0.03263473716864172,86.44067796610169,-1.6970494688813165,"0.6086, 0.7420, 0.8171, 1.5417, 0.6839",0.04714380132882309
PYTORCH_5ANOS_recursive,pe,glp,0.030299084674302663,91.52542372881356,-0.9569490163393028,"0.7247, 0.7809, 0.8843, 0.8944, 0.7027",0.044031236260939514
PYTORCH_5ANOS_direct,pe,oleodiesel,0.15754791547538008,38.983050847457626,-6.536343414180642,"1.4876, 3.2320, 0.8005, 0.5861, 3.7887",0.2626980746831255
PYTORCH_5ANOS_recursive,pe,oleodiesel,0.12200373337621644,54.23728813559322,2.113963415674028,"0.8531, 2.4672, 0.9726, 0.6981, 1.0508",0.23572551700942407
PYTORCH_5ANOS_direct,pe,querosenedeaviacao,0.4998659043671857,81.35593220338983,-4.861876913070985,"1.8762, 0.8490, 0.4653, 0.3467, 0.5701",0.3031877835392856
PYTORCH_5ANOS_recursive,pe,querosenedeaviacao,0.638603540196743,61.016949152542374,8.090945331357506,"1.8818, 0.8536, 1.2527, 2.4391, 1.5573",0.4557597006930863
PYTORCH_5ANOS_direct,ba,etanolhidratado,0.36086487090557284,45.76271186440678,31.98172634293308,"3.2551, 2.1272, 1.1282, 1.1977, 1.0646",0.7842526947099463
PYTORCH_5ANOS_recursive,ba,etanolhidratado,0.18228479458925367,54.23728813559322,-4.378161394940646,"0.5708, 1.1824, 0.6535, 1.3630, 0.3793",0.3557589325398941
PYTORCH_5ANOS_direct,ba,gasolinac,0.08574585746944577,67.79661016949153,0.2565546026257892,"0.7346, 1.2734, 0.7695, 1.1313, 1.1998",0.1740193747654369
PYTORCH_5ANOS_recursive,ba,gasolinac,0.08405653251909763,69.49152542372882,-3.2918692876295155,"1.5609, 1.4825, 0.5587, 0.7562, 0.6820",0.1665287488574378
PYTORCH_5ANOS_direct,ba,glp,0.05127527344970999,71.1864406779661,2.300760125947485,"1.1274, 1.3815, 1.0232, 0.8916, 0.5796",0.07464621091393898
PYTORCH_5ANOS_recursive,ba,glp,0.06351555989527813,71.1864406779661,-1.9294258557123463,"0.7544, 1.0827, 1.8671, 1.2044, 1.5223",0.08539763428956348
PYTORCH_5ANOS_direct,ba,oleodiesel,0.07224574154262954,61.016949152542374,3.690887290535763,"1.2268, 1.3301, 0.8275, 0.8816, 0.8934",0.12303223093214843
PYTORCH_5ANOS_recursive,ba,oleodiesel,0.07691690387279976,61.016949152542374,3.137082367689574,"0.9923, 1.1914, 1.2754, 0.8458, 0.9634",0.13335110549295653
PYTORCH_5ANOS_direct,ba,querosenedeaviacao,0.7125347075425368,67.79661016949153,-11.346017605814778,"1.3494, 1.1495, 0.7335, 0.4192, 1.8623",0.2787819108125472
PYTORCH_5ANOS_recursive,ba,querosenedeaviacao,0.7369928315497476,67.79661016949153,-3.443137566086986,"1.8249, 1.0648, 0.9343, 1.5141, 0.8697",0.32296260107294467
PYTORCH_5ANOS_direct,ro,etanolhidratado,0.4071207803675322,33.898305084745765,-11.98955961582827,"0.7918, 1.0086, 0.9232, 1.3224, 0.4036",0.20397673984033265
PYTORCH_5ANOS_recursive,ro,etanolhidratado,0.3051715820006722,57.6271186440678,18.521589194135586,"1.4999, 0.8082, 0.3316, 0.8524, 0.6981",0.21140584162731818
PYTORCH_5ANOS_direct,ro,gasolinac,0.07624829695098896,59.32203389830509,5.328082926900738,"0.9187, 1.0504, 0.9606, 1.2383, 1.9298",0.16889529642594167
PYTORCH_5ANOS_recursive,ro,gasolinac,0.06229970655304802,59.32203389830509,2.5809023923375953,"1.0913, 1.0788, 0.7251, 1.1057, 0.8815",0.14395758151113042
PYTORCH_5ANOS_direct,ro,glp,0.041834017307021035,66.10169491525424,1.022902809823535,"0.6740, 1.2169, 1.2795, 0.8415, 1.0902",0.06492591316010325
PYTORCH_5ANOS_recursive,ro,glp,0.050506583634910146,57.6271186440678,0.5472001879903609,"1.0165, 1.3322, 0.9964, 1.6220, 0.8531",0.0780280859329714
PYTORCH_5ANOS_direct,ro,oleodiesel,0.15392247545553575,47.45762711864407,10.688719663783857,"1.9702, 2.5028, 1.5865, 0.4640, 0.8585",0.3399653526869542
PYTORCH_5ANOS_recursive,ro,oleodiesel,0.18426753649463862,55.932203389830505,-0.2260700828991199,"1.7110, 1.2672, 1.2580, 1.3818, 0.5635",0.38643974919322444
PYTORCH_5ANOS_direct,ro,querosenedeaviacao,0.47011558589847996,61.016949152542374,-30.614012475282543,"1.1284, 1.3893, 0.5821, 1.7089, 1.0568",0.29605816438461086
PYTORCH_5ANOS_recursive,ro,querosenedeaviacao,0.4700534250092743,54.23728813559322,-32.16714475858319,"1.6567, 1.2672, 0.6871, 1.0923, 1.2465",0.29645693503660486
